TiO2_wt,TiO2_fine_frac,ZrO2_wt,CaSO4_wt,SiO2_wt,Lime_wt,K_solar,eps_window,dual_obj,pareto_flag,eps_flag,row_rank
30,0.7,10,15.0,5.0,40.0,4.66616396890536,0.8998705494242526,0.9930107084483646,False,False,1
30,0.7,5,20.0,5.0,40.0,4.398421037886762,0.9047712726464738,0.9670058271167952,False,False,2
30,0.7,5,15.0,5.0,45.0,4.330122505673117,0.8998628896962089,0.956998190585108,False,False,3
30,0.6,10,15.0,5.0,40.0,4.2902112620851245,0.8998705494242526,0.9527257217520622,False,False,4
30,0.7,0,25.0,5.0,40.0,4.1429725230929355,0.9092156812086952,0.9420683461597816,True,False,5
25,0.7,15,15.0,5.0,40.0,4.140476747766461,0.899868093077983,0.9366796639687662,False,False,6
30,0.7,0,20.0,5.0,45.0,4.080095190697158,0.9050390347764371,0.933042510413935,False,False,7
30,0.6,5,20.0,5.0,40.0,4.0313028009254515,0.9047712726464738,0.9276674927368063,False,False,8
30,0.7,0,15.0,5.0,50.0,4.019097886864002,0.8998542664896312,0.9236658098142978,False,False,9
30,0.6,5,15.0,5.0,45.0,3.9687048682036106,0.8998628896962089,0.9182707005228277,False,False,10
30,0.5,10,15.0,5.0,40.0,3.914258555264889,0.8998705494242526,0.91244073505576,False,False,11
25,0.7,10,20.0,5.0,40.0,3.8828911944129136,0.9048573078465052,0.911811672074422,False,False,12
30,0.6,0,25.0,5.0,40.0,3.7842830883258336,0.9092156812086952,0.9036331950209279,True,False,13
25,0.6,15,15.0,5.0,40.0,3.8244239266955646,0.899868093077983,0.9028132135850007,False,False,14
25,0.7,10,15.0,5.0,45.0,3.822087543409432,0.8998601309630567,0.9025584976442127,False,False,15
30,0.6,0,20.0,5.0,45.0,3.7268495368605334,0.9050390347764371,0.8951906843539637,False,False,16
30,0.5,5,20.0,5.0,40.0,3.6641845639641413,0.9047712726464738,0.8883291583568174,False,False,17
25,0.7,5,25.0,5.0,40.0,3.637232978982438,0.9093739882408179,0.8879628602293521,True,False,18
30,0.6,0,15.0,5.0,50.0,3.6711332452262946,0.8998542664896314,0.886379867447453,False,False,19
25,0.7,5,20.0,5.0,45.0,3.581574677777861,0.9051350946741764,0.8796764721959933,False,False,20
30,0.5,5,15.0,5.0,45.0,3.607287230734104,0.8998628896962089,0.8795432104605472,False,False,21
25,0.6,10,20.0,5.0,40.0,3.574329114474413,0.9048573078465052,0.878747887561628,False,False,22
30,0.4,10,15.0,5.0,40.0,3.538305848444653,0.8998705494242526,0.8721557483594575,False,False,23
