wavelength_nm,R_ELW-1,R_ELW-2,R_ELW-3,R_ELW-4,R_ELW-5,R_ELW-C,R_plain_lime_lit,R_purdue_benchmark,AM1.5G_irr_W_m2_nm
300.0,0.9860156145290355,0.9853438532797255,0.9848607367964571,0.9846556053078734,0.9834753104947737,0.9841246049607102,0.65,0.981,0.0010205
310.0,0.9832570902874538,0.9824051584832687,0.9821902376942031,0.9816704686977233,0.980965365005939,0.9808782213025253,0.65,0.981,0.050939
320.0,0.9831876871719324,0.9822777927524677,0.981840784627741,0.981673703377485,0.9802382527098028,0.9806735226974586,0.65,0.981,0.20527
330.0,0.9873573793265477,0.9867701280226683,0.9863666980398303,0.9861132858059902,0.9851872942683477,0.985696742268795,0.65,0.981,0.47139
340.0,0.9840628805833062,0.9832005593098131,0.9828495952179183,0.982634025765441,0.9814175080982869,0.9816817018534794,0.65,0.981,0.5018
350.0,0.9888859590874062,0.9884835579326836,0.9877721145035925,0.9876376520174345,0.9863749840562854,0.9876867753781534,0.65,0.981,0.52798
360.0,0.9858089081302368,0.9850075847790816,0.9846667610659467,0.9846011165440736,0.9833032993923139,0.9836139993878203,0.65,0.981,0.59817
370.0,0.9875084214164108,0.986987808489008,0.9864344387577256,0.9861897937692253,0.9851335588462008,0.9860033198041134,0.65,0.981,0.75507
380.0,0.9876375048584805,0.9871386165955413,0.9868589299299663,0.9863088158041169,0.9859630618631213,0.9861851593494116,0.65,0.981,0.70077
390.0,0.987443887197187,0.9868517364388899,0.9863964477267905,0.9862222347027624,0.985135099049227,0.9857748096244211,0.65,0.981,0.79699
400.0,0.989599433718237,0.9892064468704141,0.9886973141254408,0.9884689972528002,0.9875982643836817,0.9884428991166498,0.65,0.981,1.1141
410.0,0.9870586357182305,0.9864872149694128,0.9859280819330575,0.9857351922144941,0.9845553901086823,0.9854258752548636,0.65,0.981,1.0485
420.0,0.9882256628279391,0.9877698374489502,0.9874121926729895,0.9869382556102834,0.9864625206726134,0.9868874899570022,0.65,0.981,1.1232
