TiO2_wt,TiO2_fine_frac,TiO2_fine_wt,TiO2_coarse_wt,ZrO2_wt,BaSO4_wt,SiO2_wt,Lime_wt,K_solar,K_vis,K_NIR1,K_NIR2,NIR2_NIR1,ZrO2_present,rank
30,0.7,21.0,9.0,10,15.0,5.0,40.0,16.136777619939068,16.984103155755225,17.3413379953799,6.956613301279435,0.40115781741482837,True,1
30,0.7,21.0,9.0,5,20.0,5.0,40.0,15.08031564601025,15.810340704557486,16.309564766062394,6.373706074409336,0.39079559545770365,True,2
30,0.6,18.0,12.0,10,15.0,5.0,40.0,14.947562405811002,15.658068139206026,15.888863006947394,7.48750821046679,0.4712425431066327,True,3
25,0.7,17.5,7.5,15,15.0,5.0,40.0,14.845424551474455,15.70875249042089,15.813220458298732,6.572691572753129,0.4156453513113327,True,4
30,0.7,21.0,9.0,5,15.0,5.0,45.0,14.572839301253335,15.278297868157505,15.76072225464936,6.15922083834918,0.3907955954577037,True,5
30,0.6,18.0,12.0,5,20.0,5.0,40.0,13.899738093964388,14.493937117413202,14.867639582226975,6.900744918880865,0.46414529224465,True,6
25,0.6,15.0,10.0,15,15.0,5.0,40.0,13.845207930879837,14.593460449681716,14.59158319099102,7.019212863138401,0.48104532395580824,True,7
25,0.7,17.5,7.5,10,20.0,5.0,40.0,13.788688700136003,14.533517427511137,14.783136518142651,5.98722458945778,0.4050036730777626,True,8
30,0.5,15.0,15.0,10,15.0,5.0,40.0,13.758347191682937,14.33203312265683,14.436388018514888,8.018403119654144,0.5554300084876092,True,9
30,0.7,21.0,9.0,0,20.0,5.0,45.0,13.569945292464054,14.163829608079729,14.781636127343953,5.605413303968283,0.3792146725624679,False,10
30,0.6,18.0,12.0,5,15.0,5.0,45.0,13.431990041033568,14.006193332592133,14.367320121583063,6.668523996604612,0.46414529224465007,True,11
25,0.7,17.5,7.5,10,15.0,5.0,45.0,13.320545001336587,14.040085836368341,14.281230038131122,5.783950621511582,0.4050036730777627,True,12
30,0.7,21.0,9.0,0,15.0,5.0,50.0,13.131141641347165,13.705821855515358,14.30365071455368,5.424154222167385,0.379214672562468,False,13
25,0.5,12.5,12.5,15,15.0,5.0,40.0,12.84499131028522,13.47816840894254,13.369945923683305,7.465734153523673,0.5583967351953902,True,14
25,0.6,15.0,10.0,10,20.0,5.0,40.0,12.795803960092437,13.426400803830498,13.570454209527075,6.4304727481061885,0.4738583284553368,True,15
30,0.5,15.0,15.0,5,20.0,5.0,40.0,12.719160541918527,13.177533530268917,13.425714398391557,7.427783763352393,0.5532505416800959,True,16
30,0.4,12.0,18.0,10,15.0,5.0,40.0,12.56913197755487,13.005998106107631,12.983913030082382,8.549298028841498,0.6584531187965954,True,17
20,0.7,14.0,6.0,15,20.0,5.0,40.0,12.473024270326782,13.232932166319262,13.228301078344119,5.593550592368443,0.42284723935755986,True,18
30,0.6,18.0,12.0,0,20.0,5.0,45.0,12.437047735006406,12.90059162263791,13.397945986892799,6.111166626613113,0.45612712818753437,False,19
25,0.6,15.0,10.0,10,15.0,5.0,45.0,12.361369973999851,12.970557244623402,13.109719852098772,6.212149935633269,0.47385832845533676,True,20
25,0.7,17.5,7.5,5,20.0,5.0,45.0,12.317587366281964,12.924468199848585,13.30388840502091,5.227884140563185,0.3929591095029159,True,21
30,0.5,15.0,15.0,5,15.0,5.0,45.0,12.291140780813798,12.734088797026759,12.973917988516765,7.177827154860044,0.5532505416800961,True,22
20,0.7,14.0,6.0,15,15.0,5.0,45.0,12.045743569297715,12.779619769088848,12.775147325438743,5.401935778947887,0.42284723935755986,True,23
30,0.6,18.0,12.0,0,15.0,5.0,50.0,12.03487795188528,12.483432482819923,12.964704180105242,5.913553285472327,0.4561271281875344,False,24
25,0.7,17.5,7.5,5,15.0,5.0,50.0,11.915872879925683,12.50296145912575,12.870007602048576,5.057386726596765,0.3929591095029158,True,25
25,0.4,10.0,15.0,15,15.0,5.0,40.0,11.844774689690603,12.362876368203365,12.14830865637559,7.912255443908945,0.6513051049091093,True,26
25,0.5,12.5,12.5,10,20.0,5.0,40.0,11.80291922004887,12.319284180149857,12.357771900911498,6.873720906754596,0.5562265562004424,True,27
20,0.6,12.0,8.0,15,20.0,5.0,40.0,11.671325350051902,12.338997386151128,12.249127909250094,5.951448700649035,0.4858671363987242,True,28
30,0.4,12.0,18.0,5,20.0,5.0,40.0,11.538582989872666,11.86112994312463,11.983789214556138,7.954822607823919,0.663798608720652,True,29
25,0.5,12.5,12.5,10,15.0,5.0,45.0,11.402194946663116,11.901028652878466,11.938209666066419,6.640349249754957,0.5562265562004424,True,30
25,0.6,15.0,10.0,5,20.0,5.0,45.0,11.365156898918805,11.862460133059878,12.14061584036543,5.653072517293439,0.4656330940394275,True,31
30,0.5,15.0,15.0,0,20.0,5.0,45.0,11.304150177548758,11.637353637196092,12.014255846441646,6.6169199492579445,0.5507557050416675,False,32
20,0.6,12.0,8.0,15,15.0,5.0,45.0,11.271507954572893,11.916307961446565,11.829517087798372,5.7475735924283695,0.48586713639872414,True,33
30,0.4,12.0,18.0,5,15.0,5.0,45.0,11.150291520594033,11.461984261461385,11.58051585545047,7.687130313115475,0.6637986087206521,True,34
