formula,n_used,n_source,d_opt_nm,Q_scat_solar_weighted,Q_scat_vis,Q_scat_NIR1,Q_scat_NIR2
TiO2,2.8,DFT,400,3.226158765974848,3.4134137383709264,3.599576897231321,0.7772593032525945
YZr4O9,4.68859253934483,JARVIS/MP,200,3.1603793287618434,2.836220970137772,4.242401378283602,0.23080354132859804
YZr5O11,2.614294041100452,JARVIS/MP,500,3.1489990816790567,3.0810913737218,3.7129715804052283,1.1353276114425859
CaTiO3,2.543173870055552,JARVIS/MP,500,3.1362084756147555,3.31604512509187,3.441275217609108,0.9527463586452897
ZrTiO4,2.516657836629101,JARVIS/MP,500,3.1248826063009143,3.4011934949246183,3.3264834733328175,0.890679587994736
MgWO4,2.340178055903724,JARVIS/MP,600,3.0503050411393895,3.416143643994107,3.116490558960014,0.9476358205828783
ZrO2,2.29,DFT,600,2.9902562824149532,3.5604285608075257,2.8378014691803863,0.8049554918907048
ZrSiO4,2.154661613030377,JARVIS/MP,800,2.944106903363511,3.2959548288820852,2.990350146601829,0.9953663221819121
SiO2,1.57,DFT,1000,0.15590088546267,0.2531309639524618,0.07523848356706343,0.018120499924831522
BaSO4,1.678,DFT,1000,0.10859070706971456,0.17669538533372087,0.05201650342401602,0.012421915739697026
